Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.6720000000059,78.3976329100192,48463.4636999529,17328.7034200003,5
23.6730000000059,78.4008591300289,48455.546499979,17328.7578599995,5
23.674000000006,78.4057182500383,48452.0230000054,17328.6667399986,5
23.675000000006,78.4121495100472,48452.9375000318,17328.4327599978,5
23.676000000006,78.4200724900555,48458.2825000578,17328.060259997,5
23.677000000006,78.4293881300631,48467.990000083,17327.5551499962,5
23.678000000006,78.4399799900699,48481.9368001073,17326.9247999956,5
23.679000000006,78.4517157600759,48499.9538001303,17326.1779299949,5
23.680000000006,78.4644489200809,48521.8229001516,17325.3244999943,5
23.681000000006,78.4780206500849,48547.2720001711,17324.3755599938,5
23.682000000006,78.4922618100878,48575.9843001885,17323.3431899934,5
23.683000000006,78.5069951000897,48607.6089002036,17322.2402799931,5
23.684000000006,78.5220373000904,48641.7583002161,17321.0804899928,5
23.685000000006,78.5372015200901,48678.0066002261,17319.8780699927,5
23.686000000006,78.5522996000885,48715.9026002331,17318.6477499926,5
23.687000000006,78.567144400086,48754.9805002373,17317.4045599926,5
23.688000000006,78.5815521300823,48794.7572002386,17316.1637599927,5
23.689000000006,78.5953446100776,48834.7340002368,17314.9406399929,5
23.690000000006,78.608351460072,48874.4116002321,17313.7503599932,5
23.691000000006,78.6204121600655,48913.2999002246,17312.6078399936,5
23.692000000006,78.6313780400582,48950.9143002142,17311.527529994,5
23.693000000006,78.6411140400501,48986.7799002011,17310.5233099945,5
23.694000000006,78.6495003300414,49020.4475001856,17309.6082799951,5
23.695000000006,78.6564338300322,49051.5000001676,17308.7945799958,5
23.696000000006,78.6618293500227,49079.5473001475,17308.0932399965,5
23.697000000006,78.6656206800128,49104.2327001256,17307.5140499973,5
23.698000000006,78.6677613500028,49125.2470001021,17307.0653299981,5
23.699000000006,78.6682251899927,49142.3300000773,17306.753869999,5
23.700000000006,78.6670066599827,49155.2654000516,17306.5847699999,5
23.701000000006,78.664120899973,49163.8860000251,17306.5613200007,5
23.702000000006,78.6596035399636,49168.0849999984,17306.6849600016,5
23.703000000006,78.6535102899545,49167.8130999716,17306.9552200025,5
23.704000000006,78.6459162599461,49163.0709999452,17307.3696700033,5
23.705000000006,78.6369150799383,49153.9144999194,17307.9239400041,5
23.706000000006,78.6266177299313,49140.4609998947,17308.6117600049,5
23.707000000006,78.6151512599252,49122.8823998713,17309.4250000056,5
23.708000000006,78.6026571699199,49101.3956998494,17310.3538000062,5
23.709000000006,78.5892897999156,49076.2670998295,17311.3866700067,5
23.710000000006,78.5752143499124,49047.8143998117,17312.5106500072,5
23.711000000006,78.5606049299103,49016.3958997961,17313.7114700076,5
23.712000000006,78.5456424099093,48982.3997997832,17314.9737800078,5
23.713000000006,78.5305121999094,48946.248099773,17316.281320008,5
23.714000000006,78.5154019399106,48908.3950997655,17317.6172100081,5
23.715000000006,78.5004992399129,48869.313299761,17318.964150008,5
23.716000000006,78.4859892799164,48829.4835997595,17320.3046700079,5
